"perc_positive_NB_NG_cool","perc_positive_private_NG_cool","perc_positive_NB_NG_nocool","perc_positive_private_NG_nocool","perc_positive_NB_P_cool","perc_positive_private_P_cool","perc_positive_NB_P_nocool","perc_positive_private_P_nocool","perc_positive_NB_HO_cool","perc_positive_private_HO_cool","perc_positive_NB_HO_nocool","perc_positive_private_HO_nocool","perc_positive_NB_ElecRes_cool","perc_positive_private_ElecRes_cool","perc_positive_NB_ElecRes_nocool","perc_positive_private_ElecRes_nocool","perc_positive_NB_wood_cool","perc_positive_private_wood_cool","perc_positive_NB_wood_nocool","perc_positive_private_wood_nocool","perc_households_NG","perc_households_P","perc_households_HO","perc_households_ElecRes","perc_households_wood","perc_positiveNB_cool","perc_positivePrivate_cool","perc_positiveNB_nocool","perc_positivePrivate_nocool","NAME","FIPS","x","y"
0.002,0,0,0,1,1,0.891,0.876,0.944,0.894,0.782,0.359,1,1,1,1,0,1,0,1,0.775924685761385,0.0299299402431486,0.0158922316093138,0.15697764269524,0.00709612610756233,0.203461698949104,0.208211364104678,0.196072944570369,0.195997707603544,"Racine County",55101,-88.06128362,42.74756554
0.677,0.16,0,0,1,1,0.94,0.908,1,1,0.888,0.879,1,1,1,1,0,1,0,1,0.549802761341223,0.19723865877712,0.0207922419460881,0.166173570019724,0.0504602235371466,0.75642094017094,0.522633136094675,0.370041420118343,0.414002876397107,"Columbia County",55021,-89.29665703,43.52219128
0.39,0.061,0,0,1,1,0.904,0.887,1,0.999,0.884,0.814,1,1,1,1,0,1,0,1,0.449546920595915,0.257602518814314,0.0454999232068807,0.172784518507142,0.0611657195515282,0.651210259560743,0.564429542313009,0.445879127630164,0.499480609737368,"Chippewa County",55017,-90.96607645,45.27756828
0.137,0.009,0,0,1,1,0.905,0.895,1,0.964,0.886,0.744,1,1,1,1,0,1,0,1,0.588359920239282,0.212612163509472,0.0125872382851446,0.0980807577268195,0.077642073778664,0.403885468594217,0.405764332003988,0.301647058823529,0.375375623130608,"Green Lake County",55047,-89.0417847,43.84999714
0.339,0.059,0,0,1,1,0.89,0.879,1,0.988,0.873,0.775,1,1,1,1,0,1,0,1,0.503417606851684,0.199538828954953,0.0457053446430042,0.143786543687721,0.0866342748908836,0.5596892860084,0.504818166845096,0.361276867330973,0.441237091328337,"Trempealeau County",55121,-91.19078683,44.58118245
0.017,0.003,0,0,1,1,0.878,0.845,0.967,0.9,0.632,0.254,1,1,1,1,0,1,0,0.981,0.31769185391752,0.404890867163619,0.024615219606371,0.146672386979139,0.0928299458357913,0.580766933018716,0.667499973186035,0.517723387140023,0.586123612377326,"Polk County",55095,-92.46710062,45.22225907
0.005,0.001,0,0,1,1,0.88,0.841,0.957,0.895,0.607,0.194,1,1,1,1,0,1,0,0.999,0.370184696569921,0.380079155672823,0.0261213720316623,0.0683377308707124,0.142480211081794,0.475265963060686,0.614645910290238,0.418663060686016,0.535389577836412,"Richland County",55103,-90.66062108,43.28436883
0.144,0.008,0,0,1,1,0.895,0.893,0.999,0.948,0.831,0.508,1,1,1,1,0,1,0,1,0.505938608668826,0.226901126021903,0.014807959278112,0.111522443313281,0.1139904365263,0.426071880302329,0.470499460126485,0.326904365262995,0.435658028690421,"Ashland County",55003,-90.68019799,46.79412665
0.553,0.099,0,0,1,1,0.914,0.889,1,1,0.888,0.826,1,1,1,1,0,1,0,1,0.491950547007027,0.28093035666637,0.0257493551543182,0.109223516854932,0.0680423374544161,0.687951881170506,0.532648670283732,0.388859290225029,0.448281908743218,"Waupaca County",55135,-88.75052618,44.61000126
0.543,0.111,0,0,1,1,0.916,0.885,1,1,0.885,0.84,1,1,1,1,0,1,0,1,0.491950547007027,0.28093035666637,0.0257493551543182,0.109223516854932,0.0680423374544161,0.683032375700436,0.538552076847816,0.389343902872899,0.447518678288713,"Waupaca County",55135,-88.74610887,44.63044877
0.002,0,0,0,1,1,0.856,0.804,0.92,0.885,0.505,0.167,1,1,1,1,0,1,0,0.98,0.491950547007027,0.28093035666637,0.0257493551543182,0.109223516854932,0.0680423374544161,0.414827181357289,0.48098439028729,0.362703326514276,0.406073156630792,"Waupaca County",55135,-89.16310223,44.45529472
0.201,0.028,0,0,1,1,0.877,0.855,1,0.967,0.605,0.224,1,1,1,1,0,1,0,0.944,0.347342053993877,0.375637814268485,0.0200389646534929,0.136469060209667,0.104184061601262,0.601961591984414,0.64539419241117,0.478026996938491,0.560477873643195,"Juneau County",55057,-90.28192483,43.66130121
0.003,0.001,0,0,1,1,0.896,0.875,0.959,0.897,0.78,0.33,1,1,1,1,0,1,0,1,0.733823344641287,0.091133727017632,0.0145956359676676,0.127088830255057,0.0186790635339448,0.234421242199606,0.250727729614273,0.220129245717636,0.23032646479876,"Sheboygan County",55117,-87.94090316,43.6165341
0.234,0.017,0,0,1,1,0.905,0.882,1,0.987,0.882,0.845,1,1,1,1,0,1,0,1,0.733823344641287,0.091133727017632,0.0145956359676676,0.127088830255057,0.0186790635339448,0.404532855886418,0.263782510365624,0.222438204129497,0.238481153411233,"Sheboygan County",55117,-87.77560197,43.78207436
0.944,0.538,0,0,1,1,0.984,0.946,1,1,0.873,0.873,1,1,1,1,0,1,0,1,0.685847308031774,0.0540556045895852,0.0062621359223301,0.230489849955869,0.00817740511915269,0.938247449249779,0.667970847308032,0.289147409532215,0.295270701676964,"Dane County",55025,-89.23718791,43.17939468
