NAME,FIPS,x,y
Jefferson County,55055,-88.65490594,43.02014356
Jefferson County,55055,-88.98429448,42.96952461
Rusk County,55107,-90.85093959,45.49335669
Oconto County,55083,-88.62030145,45.14100591
Taylor County,55119,-90.18137757,45.3278956
Sawyer County,55113,-90.68956713,45.82904056
Waupaca County,55135,-89.16695336,44.27726791
Waupaca County,55135,-89.20902622,44.27238548
Washington County,55131,-88.38898438,43.32793176
Columbia County,55021,-89.75799193,43.62362866
Grant County,55043,-90.6321257,42.97613867
Taylor County,55119,-90.81788823,45.03866954
Lafayette County,55065,-90.33556014,42.73766959
Pepin County,55091,-92.08274808,44.66059456
Buffalo County,55011,-91.76689324,44.30964435
St. Croix County,55109,-92.16805748,45.17907459
Marathon County,55073,-89.42929606,44.7203686
Marathon County,55073,-89.25316165,44.7580091
St. Croix County,55109,-92.505179,45.12601562
Shawano County,55115,-88.58555399,44.77154319
Shawano County,55115,-88.64238288,44.7646696
Sauk County,55111,-90.00462186,43.52696912
Monroe County,55081,-90.68423615,43.82644328
Monroe County,55081,-90.51626513,43.98101345
Clark County,55019,-90.77757038,44.92323718
Marathon County,55073,-89.68014441,44.92808142
Marathon County,55073,-90.1215695,44.91334165
Marathon County,55073,-90.04270524,44.73002883
Sheboygan County,55117,-88.02596135,43.68382896
Sheboygan County,55117,-87.8607718,43.78237905
Price County,55099,-90.04985938,45.57749407
Sauk County,55111,-90.24136512,43.63415106
Jefferson County,55055,-88.91376354,43.0776386
Outagamie County,55087,-88.26635094,44.25022128
Dodge County,55027,-88.4228321,43.33485516
Chippewa County,55017,-91.13317092,44.94786324
Florence County,55037,-88.61722894,45.89665407
Green County,55045,-89.5936172,42.67565861
Brown County,55009,-87.91951171,44.48041288
Waupaca County,55135,-89.10325157,44.3628468
Waupaca County,55135,-88.86071445,44.38663186
Waupaca County,55135,-88.92488113,44.49717648
Fond du Lac County,55039,-88.72607306,43.65128088
La Crosse County,55063,-91.09759528,43.84293514
Crawford County,55023,-91.18955986,43.4185143
Washburn County,55129,-91.93802903,46.11251781
St. Croix County,55109,-92.60007121,45.16260628
Juneau County,55057,-90.26133546,43.90425978
Vernon County,55123,-90.31855842,43.6795144
Richland County,55103,-90.20843624,43.53711452
Shawano County,55115,-88.42550515,44.71429475
Shawano County,55115,-88.73946907,44.7705705
Jefferson County,55055,-88.86817989,42.85102155
Wood County,55141,-89.81492531,44.35856781
Wood County,55141,-89.82463941,44.40648529
Rock County,55105,-89.23085247,42.84254646
Dane County,55025,-89.79620289,43.18054232
Wood County,55141,-90.22315314,44.51249985
Vilas County,55125,-89.24488132,45.93613244
Green County,55045,-89.42796791,42.78880234
Pierce County,55093,-92.14751221,44.71080047
Dunn County,55033,-92.13841908,45.12439618
Dane County,55025,-89.08827163,43.19936759
Dane County,55025,-89.12096852,43.24900168
Lincoln County,55069,-89.96933117,45.20489546
Green County,55045,-89.74052457,42.71557429
Taylor County,55119,-90.71770181,45.0765211
Adams County,55001,-89.81091317,43.88158299
Rusk County,55107,-91.1415474,45.42134974
Sauk County,55111,-89.79258947,43.62813523
Clark County,55019,-90.77381871,44.973105
Sawyer County,55113,-91.48227113,45.95770957
Ashland County,55003,-90.46416074,46.01920715
St. Croix County,55109,-92.2311058,44.88197929
Polk County,55095,-92.64770548,45.5874951
Polk County,55095,-92.22770138,45.34430362
Monroe County,55081,-90.33284304,43.75174822
Eau Claire County,55035,-91.20153449,44.60482436
Douglas County,55031,-91.7762111,46.4848111
Douglas County,55031,-92.10250923,46.6844895
Marquette County,55077,-89.25897936,43.932562
Outagamie County,55087,-88.42675723,44.48557648
Price County,55099,-90.42154816,45.63789659
Calumet County,55015,-88.38941229,44.21727491
Juneau County,55057,-90.17731268,43.87660687
Langlade County,55067,-89.10032904,45.28637108
Langlade County,55067,-88.8630444,45.14724633
Florence County,55037,-88.23809578,45.88860933
Ozaukee County,55089,-87.99214923,43.29872623
Burnett County,55013,-92.14972928,45.99790772
Forest County,55041,-88.49854599,45.67086026
Polk County,55095,-92.62937305,45.55829322
Polk County,55095,-92.44410083,45.27422556
Columbia County,55021,-89.04251089,43.34574166
Waupaca County,55135,-88.7512163,44.38848079
Trempealeau County,55121,-91.23767785,44.29818464
Juneau County,55057,-90.02615571,43.99972263
Columbia County,55021,-89.0916776,43.61845522
Columbia County,55021,-89.20386721,43.53372303
Monroe County,55081,-90.88724337,43.88424567
Dodge County,55027,-88.56987832,43.32802617
Dodge County,55027,-88.63426118,43.37615177
Jackson County,55053,-91.04921764,44.35404194
Taylor County,55119,-90.35268246,45.32370349
Vilas County,55125,-89.94662879,45.90888402
Walworth County,55127,-88.55117722,42.66256481
Walworth County,55127,-88.55117722,42.66256481
