zipcode,totalcost_low,totalcost_high,systemcost_low,systemcost_high,laborcost_low,laborcost_high,jobsupplycost_low,jobsupplycost_high,price_region
53596,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53597,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53598,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53702,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53703,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53704,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53705,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53706,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53711,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53713,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53714,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53715,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53716,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53717,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53718,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53719,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53726,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53774,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53777,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53782,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53783,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53784,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53785,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53786,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53788,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53790,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53791,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53792,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53793,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53794,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53801,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53803,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53804,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53805,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53806,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53807,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53809,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53810,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53811,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53813,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53816,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53818,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53820,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53821,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53825,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53826,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53901,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53910,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53911,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53913,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53916,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53919,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53920,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53922,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53923,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53923,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53924,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53925,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53926,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53929,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53930,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53932,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53933,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53934,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53936,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53937,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53941,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53943,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53944,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53946,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53948,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53949,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53950,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53951,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
