"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53541,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53543,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53544,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53545,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53546,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53548,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53549,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53550,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53551,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53553,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53554,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53555,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53556,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53557,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53558,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53559,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53560,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53561,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53563,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53565,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53566,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53569,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53570,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53572,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53573,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53574,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53575,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53576,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53577,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53578,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53579,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53580,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53581,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53582,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53583,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53585,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53586,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53587,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53588,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53589,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53590,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53594,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53595,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53596,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53597,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53598,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53702,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53703,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53704,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53705,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53706,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53711,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53713,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53714,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53715,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53716,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53717,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53718,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53719,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
53726,3810.69,4537.34,3017.88,3521.82,679.14,864.77,113.67,150.75,"175K","85%+",1
