"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency"
53526,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53527,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53528,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53529,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53530,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53531,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53532,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53533,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53534,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53536,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53538,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53541,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53543,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53544,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53545,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53546,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53548,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53549,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53550,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53551,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53553,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53554,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53555,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53556,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53557,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53558,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53559,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53560,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53561,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53563,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53565,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
53566,3425.09,4087.67,2643.4,3084.8,679.14,864.77,102.54,138.1,"115K","85%+"
