"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53521,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53522,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53523,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53525,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53526,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53527,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53528,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53529,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53530,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53531,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53532,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53533,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53534,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53536,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53538,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53541,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53543,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53544,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53545,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53546,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53548,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53549,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53550,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53551,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53553,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53554,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53555,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53556,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53557,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53558,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53559,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53560,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53561,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53563,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53565,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53566,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53569,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53570,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53572,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53573,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
53574,18679.89,22265.52,14145.81,16507.91,2524.02,3449.57,2010.07,2308.03,5,20
