"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER"
53548,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53549,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53550,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53551,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53553,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53554,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53555,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53556,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53557,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53558,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53559,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53560,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53561,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53563,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53565,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53566,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53569,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53570,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53572,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53573,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
53574,14925.05,17791.18,12637.33,14747.55,1376.21,1985.29,911.5,1058.34,3,20
