"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","SEER","ton","price_region"
53404,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53405,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53406,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53407,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53502,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53503,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53504,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53505,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53506,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53507,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53508,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53510,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53511,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53515,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53516,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53517,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53518,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53520,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53521,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53522,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53523,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53525,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53526,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53527,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53528,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53529,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53530,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
53531,7129.76,8709.25,5353.57,6247.52,1376.21,1985.29,399.97,476.44,16,3,1
