"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","ton","SEER","price_region"
53207,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53208,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53209,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53210,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53211,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53212,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53213,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53214,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53215,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53216,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53217,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53218,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53219,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53220,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53221,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53222,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53223,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53224,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53225,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53226,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53227,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53228,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53233,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53235,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53259,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53263,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53274,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53278,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53288,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53290,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53293,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53295,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53402,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53403,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53404,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53405,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53406,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53407,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53502,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53503,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53504,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53505,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53506,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53507,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53508,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53510,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53511,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53515,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53516,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53517,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53518,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53520,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53521,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53522,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53523,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53525,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53526,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53527,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53528,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53529,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53530,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53531,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53532,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53533,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53534,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53536,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53538,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53541,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53543,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53544,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53545,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53546,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53548,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53549,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53550,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53551,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53553,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53554,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
53555,6625.7,8242.14,3575.66,4172.73,2524.02,3449.57,526.02,619.83,2,16,1
