"zipcode","totalcost_low","totalcost_high","systemcost_low","systemcost_high","laborcost_low","laborcost_high","jobsupplycost_low","jobsupplycost_high","size","efficiency","price_region"
53228,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53233,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53235,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53259,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53263,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53274,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53278,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53288,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53290,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53293,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53295,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53402,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53403,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53404,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53405,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53406,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53407,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53502,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53503,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53504,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53505,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53506,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53507,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53508,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53510,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53511,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53515,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53516,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53517,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53518,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53520,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53521,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53522,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53523,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53525,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53526,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53527,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53528,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53529,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53530,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53531,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53532,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53533,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53534,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53536,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53538,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53541,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53543,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53544,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53545,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53546,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53548,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53549,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53550,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53551,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53553,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53554,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53555,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53556,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53557,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53558,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53559,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53560,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53561,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53563,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53565,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53566,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53569,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
53570,3419.21,4284.69,2181.09,2545.29,1021.52,1471.55,216.6,267.85,"70K","92%+",1
